row_id,text_no,site_code,site,source,object_code,object_type,side,line,direction_code,direction,fs80,fs_category,fs_description,level,locus,n_signs,signs_reading_order,signs_clean,doubtful_positions
0,1001,MD,Mohenjodaro,MIC vol III,1,seal,0,1,1,right-to-left,351,Animals,Uncertain animal (mostly bovine) to R.,-3,17,5,0 67 72 8 342,0 67 72 8 342,
1,1001,MD,Mohenjodaro,MIC vol III,1,seal,0,2,3,single sign,351,Animals,Uncertain animal (mostly bovine) to R.,-3,17,1,393,393,
2,1002,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-4,28,3,*373 244 0,373 244 0,1
3,1003,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-2,20,9,*086 55 267 99 121 72 336 89 211,86 55 267 99 121 72 336 89 211,1
4,1004,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-3,16,7,59 127 245 343 75 245 245,59 127 245 343 75 245 245,
5,1005,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-7,17,2,296 342,296 342,
6,1006,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,11,Animals,Unicorn to R. No cult object in front.,-2,16,11,233 81 99 389 65 336 89 87 155 124 169,233 81 99 389 65 336 89 87 155 124 169,
7,1007,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-3,17,2,*109 162,109 162,1
8,1008,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-3,16,8,76 402 87 59 67 336 89 211,76 402 87 59 67 336 89 211,
9,1010,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-3,17,6,391 99 48 171 8 342,391 99 48 171 8 342,
10,1011,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-5,25,9,267 99 67 296 9 342 17 407 169,267 99 67 296 9 342 17 407 169,
11,1012,MD,Mohenjodaro,MIC vol III,1,seal,0,1,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-2,25,10,150 123 51 130 149 342 150 123 387 342,150 123 51 130 149 342 150 123 387 342,
12,1012,MD,Mohenjodaro,MIC vol III,1,seal,0,2,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-2,25,3,28 400 404,28 400 404,
13,1013,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-3,16,4,51 130 149 342,51 130 149 342,
14,1014,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,11,Animals,Unicorn to R. No cult object in front.,-3,25,7,267 99 87 59 67 194 342,267 99 87 59 67 194 342,
15,1015,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-2,20,3,197 28 54,197 28 54,
16,1016,MD,Mohenjodaro,MIC vol III,1,seal,0,1,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-3,20,6,245 245 345 65 158 *169,245 245 345 65 158 169,6
17,1016,MD,Mohenjodaro,MIC vol III,1,seal,0,2,3,single sign,13,Animals,Unicorn to R. facing cult object.,-3,20,1,393,393,
18,1017,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-3,17,8,221 127 345 53 171 59 *397 0,221 127 345 53 171 59 397 0,7
19,1018,MD,Mohenjodaro,MIC vol III,1,seal,1,0,3,single sign,0,No field symbol,No Field Symbol,-2,17,1,336,336,
20,1018,MD,Mohenjodaro,MIC vol III,1,seal,2,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-2,17,4,17 336 189 252,17 336 189 252,
21,1019,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-5,20,5,267 99 104 59 211,267 99 104 59 211,
22,1020,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,11,Animals,Unicorn to R. No cult object in front.,-5,5,8,175 230 343 336 0 194 48 342,175 230 343 336 0 194 48 342,
23,1021,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-4,22,9,293 123 345 65 67 51 130 149 342,293 123 345 65 67 51 130 149 342,
24,1022,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,0,15,5,267 99 204 367 342,267 99 204 367 342,
25,1023,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-9,17,8,*267 *099 53 87 59 48 294 342,267 99 53 87 59 48 294 342,1 2
26,1024,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-6,20,7,293 123 343 72 65 8 342,293 123 343 72 65 8 342,
27,1025,MD,Mohenjodaro,MIC vol III,1,seal,0,0,1,right-to-left,13,Animals,Unicorn to R. facing cult object.,-2,25,2,112 169,112 169,
