fs80,fs_category,description,lines_in_corpus,count_listed_on_site
11,Animals,Unicorn to R. No cult object in front.,170,161
12,Animals,Unicorn to L. No cult object in front.,11,8
13,Animals,Unicorn to R. facing cult object.,1012,974
14,Animals,Unicorn to L. facing cult object.,14,10
15,Animals,Unicorn to R. facing feeding trough.,4,4
17,Animals,Unicorn (with solar symbol on neck) to R. facing cult object.,1,1
19,Animals,Unicorn to R. facing animal standing on hind legs.,1,1
22,Animals,Bull with two long horns to L.,1,1
23,Animals,Bull with two long horns to R.facing cult object.,4,4
31,Animals,Humped bull to R.,61,53
32,Animals,Humped bull to L.,1,1
41,Animals,Short-horned bull to R.,14,13
45,Animals,Short-horned bull to R. facing feeding trough.,84,80
46,Animals,Short-horned bull to L. facing feeding trough.,1,1
47,Animals,Three short-horned bulls to R. in a file.,1,1
50,Animals,Two short-horned bulls face to face.,2,2
61,Animals,Buffalo to R.,3,3
62,Animals,Buffalo to L.,2,2
65,Animals,Buffalo to R. facing feeding trough.,11,9
71,Animals,Elephant to R.,46,46
72,Animals,Elephant to L.,1,1
75,Animals,Elephant to R. facing feeding trough.,8,8
82,Animals,Horned Elephant to L.,1,1
91,Animals,Tiger to R.,6,4
95,Animals,Tiger to R. facing feeding trough.,12,12
101,Animals,Horned Tiger to R.,4,4
104,Animals,Horned Tiger to L. facing cult object.,1,1
111,Animals,Rhinoceros to R.,18,17
112,Animals,Rhinoceros to L.,5,4
113,Animals,Rhinoceros to R. facing feeding trough.,17,17
117,Animals,Rhinoceros to R. under a tree.,1,1
121,Animals,"Two rhinoceroses to R., one each at either end of text.",1,1
131,Animals,"Goat-antelope to R. with short tail, horns arching back.",6,4
132,Animals,"Goat-antelope to L. with short tail, and beard, horns arching back.",2,2
133,Animals,"Goat-antelope to R. with short tail, horns arching back, facing cult object.",2,1
134,Animals,"Goat-antelope to L. with short tail, horns arching back, facing double - axe symbol.",3,1
135,Animals,"Goat-antelope to R. with short tail, horns arching back, regardant.",10,10
136,Animals,"Goat-antelope to L. with short tail,horns arching back, regardant.",1,1
137,Animals,"Goat-antelope to R. with short tail, and twirled side-horns.",7,6
138,Animals,"Goat-antelope to L. with short tail, twirled side horns.",5,3
139,Animals,"Goat-antelope to R. with short tail and twirled side horns, with heart symbol on body, facing feeding trough.",8,8
141,Animals,Ox-antelope to R. with long tail and short horns.,3,3
143,Animals,"Ox-antelope to R. with long tail and short horns, facing feeding trough.",1,1
145,Animals,Ox-antelope to R. with long tail and long curly horns.,7,7
147,Animals,"Ox-antelope to R. with long tail and long curly horns, facing feeding trough.",12,12
148,Animals,Ox-antelope to L. with long tail and long forward-arching horns.,3,2
149,Animals,"Ox-antelope to L. with long tail and long, forward-arching horns, facing cult object.",1,1
150,Animals,Two goats flanking a tree.,1,1
163,Animals,Hare to R. facing bush.,10,10
171,Animals,Object shaped like hare to R.,5,5
181,Animals,"Row of animals in file to R.(unicorn, elephant and rhinoceros from R.). Gharial holding fish above; a bird (?) at R.",1,1
192,Animals,"Bull mating a cow, both to L.",1,1
202,Animals,"Uncertain bovine animal above, elephant below, both to L.",1,1
211,Animals,Row of uncertain animals to R. in file.,2,2
221,Animals,Tiger and rhinoceros to R. in file.,1,1
231,Animals,Fabulous animal to R. with dotted circles on its body.,1,1
243,Animals,Fabulous animal to R. with features of ox and rhinoceros facing cult object.,1,1
251,Animals,"Fabulous animal to R. with body of ram, horns of bull, trunk of elephant, hind legs of tiger and upraised serpent-like tail.",19,19
255,Animals,Fabulous animal as in F.S. 251 ; two uncertain objects at R.,1,1
261,Animals,"Fabulous animal to R. with body of tiger, human head and horns of antelope.",1,1
262,Animals,"Fabulous animal as in FS 261, to L.",1,1
271,Animals,Head of unicorn to R. attached to an uncertain five- pointed symbol. (Is it the animal's flayed hide?),2,1
280,Animals,"Two heads of unicorns, joined end to end, under a stylized pipal tree.",1,1
290,Animals,"Fabulous animal of uncertain description with two heads, one at either end of the body.",9,9
302,Animals,Fabulous animal to L. with body of ox and three heads: two of Antelopes (one looking forward and the other backward) and one of short-horned bull (looking down).,1,1
311,Animals,"Fabulous animal to R. with body of ox and three heads: one of Unicorn (looking forward), one of antelope (looking backward) and one of short-horned bull (looking down).",2,1
312,Animals,"As in FS 311, to L.",1,1
320,Animals,Fabulous animal as in FS 311 at R; a goat standing on its hind legs and browsing from a tree at the centre.,1,1
330,Animals,Composite motif made up of three tigers joined together.,1,1
340,Animals,"Composite motif consisting of six heads of animals viz., those of unicorn, short-horned bull, antelope, tiger and two other uncertain animals, radiating from a ring.",1,1
351,Animals,Uncertain animal (mostly bovine) to R.,61,59
352,Animals,Uncertain animal (mostly bovine ) to L.,3,3
361,"Reptiles, fish, birds",Gharial to R.,38,38
362,"Reptiles, fish, birds",Gharial to L.,1,1
363,"Reptiles, fish, birds",Gharial to R. surrounded by school of fish.,3,3
365,"Reptiles, fish, birds",Gharial to R. with fish in jaw.,2,2
366,"Reptiles, fish, birds",Gharial to L. with fish in jaw,1,1
367,"Reptiles, fish, birds",Gharial to R. with fish in jaw surrounded by school of fish.,3,3
