sign,tokens,doubtful_tokens
0,781,0
1,134,6
2,21,3
3,6,0
4,2,0
5,2,0
6,5,0
7,8,0
8,105,4
9,12,1
10,6,0
11,2,0
12,80,8
13,1,0
14,13,0
15,126,10
16,1,0
17,91,5
18,27,5
19,8,0
20,1,0
21,2,0
22,3,0
23,1,0
24,2,1
25,53,2
26,1,0
27,2,0
28,50,2
29,3,0
30,2,0
31,2,0
32,11,0
33,1,0
34,2,0
35,4,0
36,2,0
37,1,0
38,6,0
39,1,0
40,14,1
41,20,2
42,1,0
43,2,0
44,2,0
45,4,0
46,1,0
47,16,1
48,168,6
49,2,0
50,8,1
51,105,7
52,1,0
53,130,5
54,19,1
55,4,0
56,8,0
57,7,0
58,7,0
59,381,24
60,29,2
61,1,0
62,13,1
63,10,0
64,2,0
65,216,12
66,19,1
67,279,5
68,9,0
69,4,0
70,73,1
71,7,0
72,188,4
73,8,1
74,2,0
75,13,0
76,15,2
77,2,0
78,8,0
79,1,0
80,4,2
81,24,4
82,1,0
83,4,0
84,8,0
85,1,0
86,149,17
87,365,13
88,1,0
89,314,4
90,2,0
91,2,0
92,1,0
93,11,0
94,11,1
95,64,1
96,22,1
97,91,2
98,88,2
99,649,7
100,29,1
101,1,0
102,151,4
103,30,3
104,70,1
105,2,0
106,38,1
107,6,0
108,3,0
109,38,4
110,6,0
111,4,0
112,70,4
113,17,1
114,7,1
115,1,0
116,2,0
117,1,0
118,1,0
119,13,4
120,2,1
121,70,3
122,1,0
123,193,6
124,78,2
125,18,0
126,4,0
127,50,3
128,8,1
129,5,1
130,63,3
131,1,0
132,3,0
133,1,0
134,14,0
135,35,3
136,15,0
137,23,1
138,4,0
139,15,1
140,2,0
141,4,0
142,7,0
143,2,0
144,1,0
145,1,0
146,3,0
147,1,0
148,1,0
149,92,2
150,63,0
151,1,0
152,1,0
153,26,4
154,1,0
155,49,2
156,1,0
157,1,0
158,4,1
159,2,0
160,6,1
161,4,0
162,212,6
163,5,0
164,1,0
165,1,0
166,1,0
167,7,0
168,1,0
169,240,11
170,1,0
171,132,8
172,8,0
173,38,1
174,11,0
175,54,4
176,355,6
177,21,1
178,35,0
179,1,0
180,44,0
181,2,1
182,43,1
183,11,0
184,6,0
185,1,0
186,33,4
187,3,0
188,3,0
189,4,1
190,22,0
191,1,0
192,21,1
193,25,1
194,58,0
195,4,0
196,1,0
197,60,3
198,4,0
199,2,0
200,1,0
201,9,0
202,9,1
203,2,0
204,76,3
205,26,2
206,7,0
207,1,0
208,1,0
209,24,1
210,22,0
211,227,6
212,6,0
213,2,0
214,16,0
215,10,0
216,90,3
217,10,1
218,1,0
219,11,1
220,1,0
221,4,0
222,22,0
223,6,0
224,14,0
225,4,0
226,11,0
227,1,0
228,5,0
229,5,0
230,54,3
231,1,0
232,1,0
233,29,3
234,7,0
235,1,0
236,1,0
237,8,4
238,4,1
239,1,0
240,3,0
241,1,0
242,26,0
243,1,0
244,89,2
245,207,4
246,1,0
247,8,0
248,1,0
249,170,6
250,13,0
251,1,0
252,51,4
253,21,0
254,73,3
255,1,0
256,4,0
257,2,0
258,20,2
259,3,1
260,1,0
261,27,1
262,1,0
263,7,0
264,11,0
265,1,0
266,1,0
267,376,12
268,4,0
269,1,0
270,1,0
271,1,0
272,3,0
273,1,0
274,1,0
275,5,1
276,2,0
277,11,0
278,2,0
279,1,0
280,2,0
281,1,0
282,3,0
283,4,0
284,41,2
285,1,0
286,15,0
287,88,2
288,1,0
289,5,0
290,3,0
291,1,0
292,8,1
293,136,5
294,53,4
295,9,2
296,35,0
297,6,0
298,4,1
299,1,0
300,1,0
301,13,1
302,13,0
303,11,0
304,11,1
305,3,0
306,1,0
307,69,3
308,1,0
309,2,0
310,1,0
311,3,0
312,2,1
313,2,0
314,1,0
315,1,0
316,1,0
317,1,0
318,1,0
319,27,0
320,1,0
321,13,0
322,4,0
323,10,0
324,2,0
325,13,0
326,35,2
327,42,2
328,323,5
329,7,0
330,8,0
331,5,0
332,3,0
333,3,0
334,4,1
335,2,1
336,236,8
337,5,0
338,3,0
339,1,0
340,5,0
341,59,2
342,1395,50
343,177,5
344,35,0
345,51,1
346,2,0
347,118,6
348,22,2
349,1,0
350,1,0
351,1,0
352,1,0
353,1,0
354,1,0
355,2,1
356,1,0
357,1,0
358,32,0
359,2,0
360,1,0
361,1,0
362,2,1
363,3,0
364,3,1
365,4,0
366,1,0
367,8,1
368,2,0
369,2,0
370,1,0
371,3,0
372,1,0
373,61,3
374,9,1
375,57,4
376,2,0
377,1,0
378,2,0
379,17,1
380,5,1
381,14,0
382,1,0
383,1,0
384,7,0
385,1,0
386,12,0
387,102,5
388,8,0
389,134,8
390,3,1
391,195,7
392,1,0
393,7,0
394,2,0
395,7,0
396,1,0
397,13,1
398,7,0
399,1,0
400,14,0
401,1,0
402,99,2
403,93,1
404,5,0
405,1,0
406,13,0
407,48,2
408,1,0
409,26,3
410,1,0
411,1,0
412,4,0
413,1,0
414,1,0
415,9,0
416,2,0
417,5,1
